"
",,,,,,,,,,,,,,,,,,
16,(r) books read which is 3.15% of the 508 list completed.,,,,,,,,,,,,,,,,,
22,(tr) books on to-read list,,,,,,,,,,,,,,,,,
"When you finish your to-reads, you'll have read 38 books or 7.48% of the 508 list.",,,"You have read 0% of the Autobiographies and Memoirs; 8% of Biographies; 0% of Diaries, Journals, and Letters; 0% of Essays; 0% of Interviews and Oral History; 0% of Nonfiction; 5% of Novels; 4% of Short Stories on the list.",,,,,,,,,,,,,,,
Books about people of color in the U.S. make up 27% of the list. You have read 4 of 136. Books about lesbian and gay people make up 6%. You've read 0 of 33. Books about both make up 2%. You've read 0 of 8.,,,Books about Africa make up 4% of the list; you have read 0 of 22. Asia is 8%; you've read 1 of 40. Caribbean is 3%; you've read 0 of 15. Europe is 22%; you've read 5 of 114. Middle East is 3%; you've read 1 of 16. North America is 53%; you've read 9 of 267. Oceania is 3%; you've read 0 of 15. South and Central America are 4%; you've read 0 of 19.,,,,,"WARNING: DO NOT EDIT THESE COLUMNS OR YOU LIKE, CHANGE STUFF",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
r/tr,#,Book Title,Author First Name,Author Last Name,Date,Country,Genre,TITLE,AUTHOR FIRST,AUTHOR LAST,ADDITIONAL AUTHORS,CATEGORY,REGION,COUNTRY,AUTHOR'S COUNTRY,BOOKS ABOUT PEOPLE OF COLOR IN THE U.S.,BOOKS ABOUT LESBIAN AND GAY PEOPLE,AUTHOR'S OTHER NAME
ART (Read: 0),,,,,,,,,,,,ART,,,,,,
,1,Frida: A Biography of Frida Kahlo,Hayden,Herrera,1983,Mexico,Biographies,Frida: A Biography of Frida Kahlo,Hayden,Herrera,,ART,North America,Mexico,,,,
,2,"The Writer on Her Work, Volume II: New Essays in New Territory",Janet,Sternburg,1991,U.S.,Essays,"The Writer on Her Work, Volume II: New Essays in New Territory",Janet,Sternburg,,ART,North America,U.S.,,,,
,3,The Ultraviolet Sky,Alma Luz ,Villanueva,1988,U.S.,Novels,The Ultraviolet Sky,Alma Luz ,Villanueva,,ART,North America,U.S.,,X,,
,4,The Story of Avis,Elizabeth Stuart,Phelps,1877,U.S.,Novels,The Story of Avis,Elizabeth Stuart,Phelps,,ART,North America,U.S.,,,,
,5,Silences,Tillie ,Olsen,1978,U.S.,Nonfiction,Silences,Tillie ,Olsen,,ART,North America,U.S.,,,,
,6,The Road Through Miyama,Leila ,Philip,1989,Japan,Nonfiction,The Road Through Miyama,Leila ,Philip,,ART,Asia,Japan,,,,
,7,Portrait of an Artist: A Biography of Georgia O'Keeffe,Laurie ,Lisle,1980,U.S.,Biographies,Portrait of an Artist: A Biography of Georgia O'Keeffe,Laurie ,Lisle,,ART,North America,U.S.,,,,
,8,One Writer's Beginnings,Eudora ,Welty,1983,U.S.,Autobiographies and Memoirs,One Writer's Beginnings,Eudora ,Welty,,ART,North America,U.S.,,,,
,9,Margaret Bourke-White: A Biography,Vicki ,Goldberg,1987,U.S.,Biographies,Margaret Bourke-White: A Biography,Vicki ,Goldberg,,ART,North America,U.S.,,,,
,10,Elizabeth Bishop: The Collected Prose 1937-1970,Elizabeth ,Bishop,1937,U.S.,Essays,Elizabeth Bishop: The Collected Prose 1937-1970,Elizabeth ,Bishop,,ART,North America,U.S.,,,,
,11,Daybook: The Journal of an Artist,Anne ,Truitt,1982,U.S.,"Diaries, Journals, and Letters",Daybook: The Journal of an Artist,Anne ,Truitt,,ART,North America,U.S.,,,,
,12,"Dancing on the Edge of the World: Thoughts on Words, Women, Places",Ursula K. ,Le Guin,1989,U.S.,Essays,"Dancing on the Edge of the World: Thoughts on Words, Women, Places",Ursula K. ,Le Guin,,ART,North America,U.S.,,,,
,13,Cry to Heaven,Anne ,Rice,1982,Italy,Novels,Cry to Heaven,Anne ,Rice,,ART,Europe,Italy,U.S.,,,
,14,Cosima,Grazia ,Deledda,1937,Italy,Novels,Cosima,Grazia ,Deledda,,ART,Europe,Italy,,,,
,15,Claiming Breath,Diane ,Glancy,1992,U.S.,Autobiographies and Memoirs,Claiming Breath,Diane ,Glancy,,ART,North America,U.S.,,X,,
,16,Black Women Writers at Work,Claudia ,Tate,1989,U.S.,Interviews and Oral History,Black Women Writers at Work,Claudia ,Tate,,ART,North America,U.S.,,X,,
,17,The Autobiography of Alice B. Toklas,Gertrude ,Stein,1933,France,Nonfiction,The Autobiography of Alice B. Toklas,Gertrude ,Stein,,ART,Europe,France,U.S.,,X,
,18,Artemisia,Anna ,Banti,1947,Italy,Novels,Artemisia,Anna ,Banti,,ART,Europe,Italy,,,,
CHOICES (Read: 0),,,,,,,,,,,,CHOICES,,,,,,
,19,Lolly Willowes; or The Loving Huntsman,Sylvia Townsend,Warner ,1926,England,Novels,Lolly Willowes; or The Loving Huntsman,Sylvia Townsend,Warner ,,CHOICES,Europe,England,,,,
tr,20,The Awakening,Kate ,Chopin ,1899,U.S.,Novels,The Awakening,Kate ,Chopin ,,CHOICES,North America,U.S.,,,,
tr,21,The Garden Party and Other Stories,Katherine ,Mansfield ,1922,England,Short Stories,The Garden Party and Other Stories,Katherine ,Mansfield ,,CHOICES,Europe,England,New Zealand,,,
tr,22,The Waiting Years,Fumiko ,Enchi ,1957,Japan,Novels,The Waiting Years,Fumiko ,Enchi ,,CHOICES,Asia,Japan,,,,
,23,Passing,Nella,Larsen,1929,U.S.,Novels,Passing,Nella,Larsen,,CHOICES,North America,U.S.,,X,,
,24,Two Women in One,Nawal ,El Saadawi ,1975,Egypt,Novels,Two Women in One,Nawal ,El Saadawi ,,CHOICES,Middle East,Egypt,,,,
,25,Three Guineas,Virginia ,Woolf ,1938,England,Essays,Three Guineas,Virginia ,Woolf ,,CHOICES,Europe,England,,,,
,26,"Three: An Unfinished Woman, Pentimento and Scoundrel Time",Lillian ,Hellman ,1980,U.S.,Autobiographies and Memoirs,"Three: An Unfinished Woman, Pentimento and Scoundrel Time",Lillian ,Hellman ,,CHOICES,North America,U.S.,,,,
,27,Testament of Youth,Vera ,Brittain ,1933,England,Autobiographies and Memoirs,Testament of Youth,Vera ,Brittain ,,CHOICES,Europe,England,,,,
,28,So Long a Letter,Mariama ,Bâ ,1980,Senegal,Novels,So Long a Letter,Mariama ,Bâ ,,CHOICES,Africa,Senegal,,,,
,29,My Brilliant Career,Miles ,Franklin ,1901,Australia,Novels,My Brilliant Career,Miles ,Franklin ,,CHOICES,Oceania,Australia,,,,
,30,Miss Sophie's Diary,Ding ,Ling ,1927,China,Short Stories,Miss Sophie's Diary,Ding ,Ling ,,CHOICES,Asia,China,,,,
,31,The Magnificent Spinster,May ,Sarton ,1985,U.S.,Novels,The Magnificent Spinster,May ,Sarton ,,CHOICES,North America,U.S.,,,X,
,32,Hotel du Lac,Anita ,Brookner ,1985,Switzerland,Novels,Hotel du Lac,Anita ,Brookner ,,CHOICES,Europe,Switzerland,England,,,
,33,From the Lanai and Other Hawaii Stories,Jessica K. ,Saiki ,1991,U.S.,Short Stories,From the Lanai and Other Hawaii Stories,Jessica K. ,Saiki ,,CHOICES,North America,U.S.,,X,,
,34,"Eleanor Roosevelt, Volume One: 1884-1933",Blanche Wiesen,Cook ,1992,U.S.,Biographies,"Eleanor Roosevelt, Volume One: 1884-1933",Blanche Wiesen,Cook ,,CHOICES,North America,U.S.,,,,
,35,The Dollmaker,Harriet ,Arnow ,1954,U.S.,Novels,The Dollmaker,Harriet ,Arnow ,,CHOICES,North America,U.S.,,,,
,36,The District Governor's Daughters,Camilla ,Collett ,1854,Norway,Novels,The District Governor's Daughters,Camilla ,Collett ,,CHOICES,Europe,Norway,,,,
,37,The Convert,Elizabeth ,Robins ,1907,England,Novels,The Convert,Elizabeth ,Robins ,,CHOICES,Europe,England,,,,
,38,"Because It Is Bitter, and Because It Is My Heart",Joyce Carol ,Oates ,1991,U.S.,Novels,"Because It Is Bitter, and Because It Is My Heart",Joyce Carol ,Oates ,,CHOICES,North America,U.S.,,,,
,39,Aquamarine,Carol ,Anshaw ,1992,U.S.,Novels,Aquamarine,Carol ,Anshaw ,,CHOICES,North America,U.S.,,,X,
tr,40,After Leaving Mr. McKenzie,Jean ,Rhys ,1931,England,Novels,After Leaving Mr. McKenzie,Jean ,Rhys ,,CHOICES,Europe,England,,,,
CONFLICTING CULTURES (Read: 0),,,,,,,,,,,,CONFLICTING CULTURES,,,,,,
,41,Cleaned Out,Annie ,Ernaux ,1974,France,Novels,Cleaned Out,Annie ,Ernaux ,,CONFLICTING CULTURES,Europe,France,,,,
